書名	総合評価	戦法	著者	発行年月	難易度
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/262/4-262-10206-8.htm"",""中原の将棋シリーズ(6) 中原の 駒別 次の一手 《歩・香・桂》"")"	B			1978年4月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89287/4-89287-021-8.htm"",""王将ブックス ポケット版 ─ 振飛車 シリーズ�T 中飛車戦法"")"	C	中飛車		1966年	"Not
        found at Amazon.co.jp"
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/4-8399-1220-3.htm"",""寝る前に解く3手詰・5手詰"")"	B		毎日コミュニケーションズ	2003年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/278/4-278-08111-1.htm"",""中原誠の 3度将棋が強くなるシリーズ 中飛車 〔3度〕将棋が強くなる"")"	B	中飛車		1984年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/905689/4-905689-20-1.htm"",""振飛車破りシリーズ 中飛車を破れ・下巻"")"	A	振り飛車, 中飛車		1982年6月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/905689/4-905689-19-8.htm"",""振飛車破りシリーズ 中飛車を破れ・上巻"")"	A	振り飛車, 中飛車, 三間飛車		1981年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/4-8399-1448-6.htm"",""達人の道 米長邦雄達人戦勝局集"")"	B			2004年3月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/415/4-415-04735-1.htm"",""新しい詰将棋 ２・３・４級"")"	C			1989年6月（初版1984年8月）	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/391/4-391-12323-1.htm"",""森内優駿流 棋本ブックス 華麗なる将棋大技テクニック 【問題150】飛車角の大駒が盤上に舞う！"")"	A	居飛車	森内俊之	1999年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/2076/2076-313222-7108.htm"",""ヤング・レジャー(32) 現代将棋読本《初級編》 内藤国雄の 駒別 次の妙手"")"	A			1982年5月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/4-422-75034-8.htm"",""駒別スーパー手筋講座(2) 飛角桂香の徹底活用術"")"	B			2000年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/620/4-620-50449-1.htm"",""第四十九期将棋名人戦 全記録"")"	C	四間飛車, 角換わり, 三間飛車	毎日新聞社	1991年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/2076/2076-313627-7108.htm"",""ヤング・レジャー(36) 内藤国雄の 詰将棋傑作集 ハンディ版"")"	B			1984年8月	（'82版)（'85版）≪Amazonマーケットプレイス≫
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/2076/2076-11010-5892.htm"",""中原・森の第36期名人戦写真集"")"	B			1976年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/0276/0276-209-6016.htm"",""入門詰将棋100題"")"	C			1980年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/2076/2076-313930-7108.htm"",""ヤング・レジャー(39) 内藤国雄の 袖飛車戦法と石田流 ハンディ版"")"	A			1984年5月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8197/4-8197-0375-7.htm"",""羽生の法則 Volume 2 金銀の手筋"")"	B			2004年4月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/262/4-262-10286-6.htm"",""5手詰めから15手詰めまで 中村修の不思議流詰め将棋 ─詰め棋力判定付き─"")"	C			1989年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/340/4-340-07107-2.htm"",""駒落ち定跡から覚えよう 将棋初級入門"")"	D	四間飛車		1978年10月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/4-422-75094-1.htm"",""将棋終盤力養成講座(4) 次の一手問題集 必至のかけ方 寄せのコツを体得する"")"	B			2003年4月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/4-422-75035-6.htm"",""駒別スーパー手筋講座(3) 玉金銀の徹底活用術"")"	B			2000年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/620/4-620-50448-3.htm"",""第四十八期将棋名人戦 全記録"")"	D	角換わり, 中飛車	毎日新聞社	1990年10月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89563/4-89563-669-0.htm"",""実戦！スーパー四間飛車"")"	B	四間飛車		1997年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89563/4-89563-673-9.htm"",""力戦！スーパー振り飛車"")"	B	四間飛車, 居飛車, 振り飛車, 三間飛車		1997年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8197/4-8197-0166-5.htm"",""5手詰ハンドブック"")"	A			2004年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/1076/1076-1116-0651.htm"",""新版 角落必勝法 これを知らないと勝てない！"")"	B		中原誠	1979年12月	"Not
        found at Amazon.co.jp"
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/620/4-620-50447-5.htm"",""第四十七期将棋名人戦 全記録"")"	C	三間飛車	毎日新聞社	1989年11月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89563/4-89563-599-6.htm"",""さわやかな詰将棋105 楽しみながら強くなる"")"	B		週刊将棋	1994年5月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/931538/4-931538-03-7.htm"",""将棋倶楽部24万局集"")"	A	四間飛車		2002年3月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/253/4-253-01052-0.htm"",""秋田書店・将棋教室シリーズ(1) 駒の力と働き ─生きた駒の使い方"")"	B			1985年1月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/620/4-620-50446-7.htm"",""第四十六期将棋名人戦 全記録"")"	C	四間飛車, 角換わり, 居飛車, 横歩取り	毎日新聞社	1988年10月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89287/4-89287-069-2.htm"",""王将ブックス ポケット版 ─特殊戦法シリーズ�W ジュニア詰め将棋"")"	B			1979年6月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89563/4-89563-611-9.htm"",""1問ごとに強くなる 勝つための詰将棋81"")"	B		週刊将棋	1994年10月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89287/4-89287-052-8.htm"",""王将ブックス DELUXE版 ―駒落ちシリーズ(2) 飛香落ち必勝法"")"	B	四間飛車		1988年6月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/582/4-582-61405-1.htm"",""米長の将棋 5 棒銀・腰掛銀"")"	A	居飛車, 角換わり, 横歩取り		1981年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/620/4-620-50445-9.htm"",""第四十五期将棋名人戦 全記録"")"	C	四間飛車	毎日新聞社	1987年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/415/4-415-03923-5.htm"",""ジュニアライブラリー ぼくらの詰将棋入門"")"	C			1981年1月	"Not
        found at Amazon.co.jp"
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/2276/2276-0116-5892.htm"",""地位と名誉をかけた男の激烈な戦い 熱血将棋順位戦"")"	C	四間飛車, 中飛車, 三間飛車		1974年10月	"Not
        found at Amazon.co.jp"
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/262/4-262-10263-7.htm"",""勝利シリーズ(3) 将棋・勝つ受け方"")"	A			1984年6月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/620/4-620-50444-0.htm"",""第四十四期将棋名人戦 全記録"")"	D	四間飛車, 居飛車, 三間飛車	毎日新聞社	1986年10月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/4-422-75068-2.htm"",""初段に挑戦する将棋シリーズ(18) 詰め方カタログ 実戦での詰めがすべてわかる"")"	A			1987年7月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/0276/0276-044003-0316.htm"",""大山将棋5部作(3) 明解 将棋の受け方"")"	B?			1966年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/620/4-620-50443-2.htm"",""第四十三期将棋名人戦 全記録"")"	D		毎日新聞社	1985年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89563/4-89563-676-3.htm"",""5手詰めパラダイス"")"	C		詰将棋パラダイス 週刊将棋	1997年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/262/4-262-10121-5.htm"",""1･3･5手 こども詰め将棋入門 詰めの手筋がばっちりわかる！"")"	B		中原誠	1996年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/582/4-582-61404-3.htm"",""米長の将棋 4 ひねり飛車・横歩取り"")"	A	横歩取り		1980年10月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/278/4-278-08162-6.htm"",""詰将棋それ行け200題 1･3・5手"")"	B			1986年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/620/4-620-50442-4.htm"",""第四十二期将棋名人戦 全記録"")"	C	四間飛車, 中飛車, 居飛車	毎日新聞社	1984年10月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/4-8399-0176-7.htm"",""超初心詰将棋3手5手"")"	C		週刊将棋	1999年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8197/4-8197-0163-0.htm"",""メキメキ将棋上達本 ラクラク次の一手 基本手筋集"")"	B		日本将棋連盟書籍	2002年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/643/4-643-04003-3.htm"",""第十六期竜王決定七番勝負 激闘譜 羽生善治 VS 森内俊之"")"	D	四間飛車, 角換わり, 居飛車, 横歩取り	読売新聞社	2004年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/0276/0276-30042-2270.htm"",""内藤シリーズ(2) 横歩取り空中戦法 付・横歩取り実戦好局集"")"	B	中飛車, 横歩取り		1974年	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89563/4-89563-588-0.htm"",""詰棋ドリンク 初心者向け詰将棋問題集"")"	C		週刊将棋	1993年11月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/4-422-75092-5.htm"",""将棋終盤力養成講座(2) 終盤の感覚を磨く202題 詰将棋 1手・3手・5手"")"	B			2002年6月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/262/4-262-10285-8.htm"",""3･5･7手の詰め将棋 ─詰め棋力判定付き─"")"	C		中原誠 【構 成】 田代正夫	1988年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/620/4-620-50441-6.htm"",""第四十一期将棋名人戦 全記録"")"	D		毎日新聞社	1983年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/591/4-591-07946-5.htm"",""キミにもできる！必殺ワザ(5) 将棋の必殺ワザ"")"	B			2003年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8315/4-8315-0618-4.htm"",""なるにはBOOKS 72 棋士になるには"")"	B			1994年3月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8197/4-8197-0164-9.htm"",""メキメキ将棋上達本 ラクラク詰将棋 基本手筋集"")"	B		日本将棋連盟書籍	2002年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/0276/0276-605110-3214.htm"",""実日新書D-29 ヘボ将棋の必勝法 一級以下の痛快6戦法"")"	C	中飛車		1982年6月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/415/4-415-04645-2.htm"",""LET'S PLAY SHOGI 詰将棋 実力テスト 七・八・九級"")"	B		田中寅彦	1989年6月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/582/4-582-61403-5.htm"",""米長の将棋 3 矢倉戦法"")"	A			1980年10月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8197/4-8197-0372-2.htm"",""羽生の法則 Volume1 歩の手筋"")"	B			2003年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/4-8399-0463-4.htm"",""新5手詰めパラダイス"")"	C		詰将棋パラダイス，週刊将棋	2001年1月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/4-422-75037-2.htm"",""一から始める 大人のための将棋再入門"")"	A	四間飛車		2003年10月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/4-8399-1289-0.htm"",""振り飛車ワールド 第六巻"")"	B	四間飛車, 居飛車, 振り飛車	毎日コミュニケーションズ	2003年11月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8197/4-8197-0080-4.htm"",""日本将棋連盟公式 将棋ガイドブック"")"	A			2003年11月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/4-422-75080-1.htm"",""将棋必勝シリーズ 振り飛車奇襲戦法 2 阪田流向かい飛車・奇襲袖飛車・相振り奇襲"")"	C	振り飛車, 三間飛車		2002年7月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/620/4-620-50440-8.htm"",""第四十期将棋名人戦 全記録"")"	C		毎日新聞社	1982年10月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/06/4-06-212094-1.htm"",""なめたらあかん三手五手"")"	B			2003年10月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/582/4-582-61402-7.htm"",""米長の将棋 2 居飛車対振飛車 下"")"	A	中飛車, 居飛車		1980年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/575/4-575-29069-6.htm"",""インターネットで将棋を勝て！ マリオ武者野のパーフェクト四間飛車 （CD-ROM付き書籍）"")"	B	四間飛車, 居飛車		2000年3月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/905689/4-905689-11-2.htm"",""第25期将棋十段戦"")"	B	四間飛車, 振り飛車, 中飛車, 三間飛車	木本書店 【監 修】 読売新聞社	1987年6月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/0076/0076-570332-2368.htm"",""将棋 必勝の格言 将棋上達の最短コース"")"	A	横歩取り		1959年	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/620/4-620-50439-4.htm"",""第三十九期将棋名人戦 全記録"")"	C	四間飛車, 中飛車, 三間飛車	毎日新聞社	1981年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/582/4-582-61401-9.htm"",""米長の将棋 1 居飛車対振飛車(上)"")"	A	中飛車, 居飛車		1980年6月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89287/4-89287-012-9.htm"",""王将ブックスDELUXE版 ―居飛車シリーズ（６） ヨコ歩取り戦法"")"	C	居飛車, 横歩取り		1975年4月	"Not
        found at Amazon.co.jp"
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/620/4-620-31114-6.htm"",""第45期王将戦七番勝負 付録：［第44期王将戦／全七局］［王将戦物語］"")"	C	四間飛車, 横歩取り	毎日新聞社	1996年4月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89563/4-89563-621-6.htm"",""奇襲虎の巻 明日からすぐ勝てる"")"	B	四間飛車, 中飛車, 振り飛車	週刊将棋	1994年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/620/4-620-50438-6.htm"",""第三十八期将棋名人戦 全記録"")"	D		毎日新聞社	1980年10月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/4-8399-0189-9.htm"",""困ったときに役に立つ 将棋格言豆事典"")"	S			1999年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8197/4-8197-0300-5.htm"",""スリル満点、スピード将棋 ＪＴ将棋日本シリーズ熱局選 1980-1991"")"	C	四間飛車, 中飛車, 三間飛車	日本将棋連盟出版部	1992年5月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8197/4-8197-0340-4.htm"",""日将ブックス 将棋・端攻め全集 カタいようで実はもろいのが1筋9筋"")"	B	角換わり, 振り飛車, 居飛車		1979年4月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/391/4-391-12010-0.htm"",""森内優駿流棋本ブックス 森内優駿流 必勝の発想 序・中・終盤のテクニック"")"	B		森内俊之	1997年4月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/09/4-09-280015-0.htm"",""Kids Pocket Books No.15 羽生善治の将棋攻略ブック"")"	C			1995年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/262/4-262-10127-4.htm"",""気持ちいいほど勝負手がわかる 勝つ将棋・大駒の切り方"")"	B	居飛車	中原誠	2000年3月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/4-422-75101-8.htm"",""将棋必勝シリーズ なんでも中飛車"")"	B	居飛車, 中飛車, 三間飛車		2003年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/471/4-471-13139-7.htm"",""屋敷伸之の忍者将棋 奇襲!! 将棋ウォーズ"")"	B	四間飛車, 角換わり, 中飛車	屋敷伸之	1992年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89563/4-89563-537-6.htm"",""秘伝大道棋"")"	S		週刊将棋	1990年7月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89563/4-89563-537-6.htm"",""秘伝大道棋"")"	S		週刊将棋	1990年7月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/86137/4-86137-001-9.htm"",""最強将棋21 #02 四間飛車の急所(1) 進化の謎を解く"")"	S	四間飛車, 振り飛車, 居飛車		2003年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/4-8399-1234-3.htm"",""振り飛車ワールド 第五巻"")"	B	四間飛車, 居飛車, 振り飛車	毎日コミュニケーションズ	2003年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/380/4-380-95260-6.htm"",""三一将棋シリーズ 公望流 メリケン向飛車戦法"")"	B			1995年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8197/4-8197-0370-6.htm"",""パワーアップシリーズ 新ゴキゲン中飛車戦法"")"	B	居飛車, 振り飛車, 中飛車		2003年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89563/4-89563-645-3.htm"",""消えた戦法の謎 あの流行形はどこに！？"")"	S	角換わり, 振り飛車, 中飛車, 横歩取り	週刊将棋	1995年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/340/4-340-07108-0.htm"",""駒落ち定跡で強くなる 将棋中級入門"")"	C	四間飛車, 居飛車, 横歩取り, 三間飛車, 中飛車		1979年4月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/87365/4-87365-101-8.htm"",""すぐに役立つ 攻めて勝つ 田丸流実戦アタック"")"	C	居飛車, 振り飛車		1996年1月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/4-8399-0080-9.htm"",""B級四間飛車の達人"")"	B	四間飛車, 居飛車	週刊将棋	1998年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/262/4-262-10304-8.htm"",""谷川浩司の将棋新研究(4) 谷川流・将棋は終盤 [付]詰め将棋と必死問題"")"	B			1985年4月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8197/4-8197-0369-2.htm"",""最強居飛車穴熊マニュアル The Strongest Hibernaculum Castle with static Rook Manual"")"	A	四間飛車, 居飛車		2003年1月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/582/4-582-60705-5.htm"",""大山の将棋読本 5 駒落の勝ち方"")"	B	四間飛車, 中飛車		1973年3月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/262/4-262-10302-1.htm"",""谷川浩司の将棋新研究(2) 谷川流スピード将棋 対四間・超早仕掛けの新工夫"")"	A	四間飛車, 居飛車, 振り飛車		1983年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/87365/4-87365-062-3.htm"",""すぐに役立つ 実力アップ 実戦次の一手"")"	D			1990年6月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/638/4-638-07229-1.htm"",""わかりやすいオール図解 谷川流 攻めの手筋 先鋭早仕掛けの決め手"")"	C			1983年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/87365/4-87365-063-1.htm"",""すぐに役立つ オール 寄せの手筋"")"	B			1991年3月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/0376/0376-69201-4604.htm"",""日本将棋大系 第一巻 初代大橋宗桂・二代大橋宗古"")"	B?	居飛車		1979年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89563/4-89563-550-3.htm"",""終盤の定跡デラックス"")"	B		週刊将棋	1991年7月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/14/4-14-016075-6.htm"",""NHK将棋シリーズ 佐藤康光の 寄せの急所 囲いの急所"")"	A	居飛車, 振り飛車		1995年11月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/620/4-620-50437-8.htm"",""第三十七期将棋名人戦 全記録"")"	C	四間飛車, 中飛車	毎日新聞社	1979年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/528/4-528-00483-6.htm"",""大山康晴の次の一手 将棋・実力テスト次の一手"")"	C			1982年7月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/309/4-309-72271-7.htm"",""先崎式将棋レクチャー＆トーク ホントに勝てる四間飛車"")"	A	四間飛車, 居飛車		2002年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/87365/4-87365-044-5.htm"",""すぐに役立つ ハイテク将棋必勝法"")"	B			1987年6月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8197/4-8197-0114-2.htm"",""加藤の勝つ次の一手 あなたの実力何段？何級？"")"	A			1984年11月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8069/4-8069-0312-4.htm"",""問題集百態 将棋実力早わかり"")"	C	角換わり, 振り飛車, 横歩取り		1973年	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89287/4-89287-038-2.htm"",""王将ブックスDELUXE版 C ハメ手シリーズ(3) ハメ手撃破戦法"")"	C	四間飛車, 居飛車, 横歩取り		1986年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/380/4-380-93217-6.htm"",""三一将棋シリーズ 参上!!女流三強棋士 次の一手でわかる 直子のジャンプ・広恵のテクニック・市代のパワー"")"	C		林葉直子・中井広恵・清水市代	1993年5月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/471/4-471-13140-0.htm"",""屋敷伸之の忍者将棋 将棋クロスワードパズル 次の一手"")"	C		屋敷伸之	1991年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8197/4-8197-0206-8.htm"",""泥沼流振り飛車破り さわやか自戦記書きおろし"")"	B	四間飛車, 振り飛車		1994年1月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/4-8399-0594-0.htm"",""森下の対振り飛車熱戦譜"")"	B	居飛車, 振り飛車, 四間飛車		2002年11月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/4-8399-0642-4.htm"",""東大将棋ブックス 四間飛車道場 第三巻 左４六銀"")"	A	四間飛車, 振り飛車, 居飛車		2002年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89563/4-89563-558-9.htm"",""急戦！振り飛車破り(2) 徹底左４六銀"")"	A	四間飛車, 振り飛車	週刊将棋	1991年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/4-8399-1233-5.htm"",""お昼休みに解く 初段次の一手"")"	C		週刊将棋	2003年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/381/4-381-00110-9.htm"",""MAN TO MAN BOOKS 楽しい詰将棋入門 ─3手詰・5手詰"")"	B			1993年8月（初出1976年）	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89563/4-89563-580-5.htm"",""屋敷伸之の将棋 茫洋"")"	C	四間飛車, 横歩取り		1993年6月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89563/4-89563-572-4.htm"",""小林健二の将棋 鍛錬千日・勝負一瞬"")"	B	四間飛車, 振り飛車, 居飛車		1992年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89563/4-89563-571-6.htm"",""塚田泰明の将棋 遊心"")"	B			1992年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/4-8399-0679-3.htm"",""東大将棋ブックス 四間飛車道場 第四巻 ４五歩"")"	A	四間飛車, 振り飛車, 居飛車		2002年4月	
