書名	総合評価	戦法	著者	発行年月	難易度
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7361-2.htm"",""マイナビ将棋BOOKS 最速で敵陣突破！角換わり早繰り銀"")"	B	角換わり		2020年6月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7289-9.htm"",""マイナビ将棋BOOKS 角交換振り飛車破りの決定版！ 地下鉄飛車徹底ガイド"")"	B	居飛車, 中飛車, 振り飛車, 四間飛車		2020年5月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7173-1.htm"",""マイナビ将棋BOOKS 堅陣で圧倒！ 対中飛車 一直線穴熊"")"	B	振り飛車, 中飛車		2020年5月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7288-2.htm"",""マイナビ将棋BOOKS 圧倒的破壊力！藤森流なんでも右四間飛車"")"	A	四間飛車, 振り飛車, 居飛車, 三間飛車		2020年4月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7334-6.htm"",""マイナビ将棋BOOKS 耀龍四間飛車 美濃囲いから王様を一路ずらしてみたらビックリするほど勝てる陣形ができた"")"	A	四間飛車, 振り飛車, 居飛車		2020年4月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/16/978-4-16-391200-4.htm"",""文春e-book うつ病九段"")"	S			2020年4月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7287-5.htm"",""マイナビ将棋BOOKS 将棋革命！振り飛車ミレニアム戦法"")"	B+	居飛車, 振り飛車, 四間飛車		2020年3月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7243-1.htm"",""マイナビ将棋BOOKS よくわかる雁木"")"	B	角換わり, 振り飛車, 居飛車		2020年3月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/978-4-422-75149-8.htm"",""目からウロコ！今どき将棋格言"")"	B	居飛車, 角換わり, 振り飛車, 横歩取り		2020年3月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7224-0.htm"",""斎藤慎太郎の 角換わり腰掛け銀研究"")"		四間飛車, 角換わり, 居飛車, 横歩取り		2020年3月	
